rank,channel_info,influence_score,posts,followers,avg_likes,new_post_avg_like,total_likes,country,eng_rate
118,5-Minute Crafts GIRLY,85,10000,46500000,157000,12400,1600000000,United States,3e-4
119,zayn,82,160,46500000,4700000,4000000,773500000,United States,0.08810000000000001
120,larissamanoela,85,5200,46500000,579600,259399.99999999997,3000000000,Brazil,0.005699999999999999
121,travisscott,78,3200,46200000,3000000,2600000,9600000000,United States,0.0571
122,thenotoriousmma,82,3200,45900000,1100000,311500,3500000000,United States,0.0069
123,daddyyankee,80,20,45900000,652500,455300,18300000,Puerto Rico,0.01
124,natgeotravel,82,16900,45800000,189900,52800,3200000000,United States,0.0012
125,nikefootball,85,1800,45400000,431200,199800,784000000,United States,0.0044
126,stephencurry30,84,1100,45400000,1100000,1200000,1200000000,Not Listed,0.0276
127,vancityreynolds,86,680,44800000,1400000,1200000,925700000,Not Listed,0.026099999999999998
128,maisa,42,1500,44500000,553000,294100,820100000,Brazil,0.0067
129,luissuarez9,85,970,44200000,801800,414800,782500000,Not Listed,0.0096
130,gusttavolima,76,4900,43900000,475100,303900,2300000000,Brazil,0.0070999999999999995
131,jannatzubair29,84,1600,43800000,1300000,944300,2200000000,Not Listed,0.0218
132,varundvn,84,1900,43800000,1100000,640500,2000000000,India,0.0148
133,hrithikroshan,85,580,43700000,1600000,1600000,949900000,C̫te d'Ivoire,0.0382
134,nickyjampr,81,10000,43400000,381600,139300,3800000000,Colombia,0.0033
135,buzzfeedtasty,85,8900,43200000,65099.99999999999,7700,580700000,Spain,2e-4
136,brunamarquezine,84,3000,43100000,969700,444200,2900000000,United States,0.0105
137,caradelevingne,86,4400,42900000,790200,181000,3500000000,United States,0.0043
138,kapilsharma,83,950,42200000,736400,624500,710700000,Not Listed,0.0149
139,badbunnypr,83,10,42100000,3700000,5400000,67500000,Not Listed,0.1309
140,britneyspears,80,3000,42100000,513100,221700,1600000000,Turkey,0.0055000000000000005
141,j.m,83,20,41900000,14200000,11000000,368100000,Not Listed,0.2641
